offset,pre_x,pre_y,pre_z,post_x,post_y,post_z,scores,cleft_scores,segmentid_pre,segmentid_post,pre_svid,post_svid,pre_id,post_id,x,y,z,partner,Tags,flywire.id
172774007,583364,202680,70840,583472,202692,70800,293.671875,151,3181305219,3181305423,"=""80645535966751489""","=""80645535966766106""","=""720575940613725708""","=""720575940616046363""",583364,202680,70840,"=""720575940613725708""",FALSE,"="""""
172774041,583824,203084,70960,583732,203068,70920,137.131286621094,150,2791042904,3181305423,"=""80645604686240532""","=""80645604686257876""","=""720575940629359076""","=""720575940616046363""",583824,203084,70960,"=""720575940629359076""",FALSE,"="""""
172774042,583832,203128,70960,583756,203148,70920,443.215637207031,146,2791042904,3181305423,"=""80645604686250795""","=""80645604686259411""","=""720575940629359076""","=""720575940616046363""",583832,203128,70960,"=""720575940629359076""",TRUE,"="""""
172774096,583588,203456,71200,583692,203452,71200,42.6542587280273,144,3311817912,3181305423,"=""80645604686249408""","=""80645604686276896""","=""720575940613725708""","=""720575940616046363""",583588,203456,71200,"=""720575940613725708""",FALSE,"="""""
172774149,583504,203460,71360,583604,203436,71400,34.8213996887207,148,3311817912,3181305423,"=""80645604686249408""","=""80645604686285185""","=""720575940613725708""","=""720575940616046363""",583504,203460,71360,"=""720575940613725708""",FALSE,"="""""
172774195,583560,203528,71720,583552,203412,71720,695.554992675781,143,2527458123,3181305423,"=""80645604686291098""","=""80645604686285185""","=""720575940628113292""","=""720575940616046363""",583560,203528,71720,"=""720575940628113292""",FALSE,"="""""
172774237,583300,203104,71840,583356,203208,71840,593.37060546875,144,2659892065,3181305423,"=""80645604686295112""","=""80645604686306422""","=""720575940610903062""","=""720575940616046363""",583300,203104,71840,"=""720575940610903062""",TRUE,"="""""
172774283,583240,203048,72000,583256,203152,72000,132.650756835938,150,2659892065,3181305423,"=""80645604686295112""","=""80645604686306422""","=""720575940610903062""","=""720575940616046363""",583240,203048,72000,"=""720575940610903062""",TRUE,"="""""
178256792,577576,202196,57120,577520,202264,57160,304.924621582031,138,2396943184,2659249962,"=""80575167155728374""","=""80575167155740371""","=""720575940624804248""","=""720575940616046363""",577576,202196,57120,"=""720575940624804248""",FALSE,"="""""
178256819,577476,202112,57320,577448,202216,57280,236.858489990234,140,2396943184,2659249962,"=""80575167155728374""","=""80575167155740371""","=""720575940624804248""","=""720575940616046363""",577476,202112,57320,"=""720575940624804248""",TRUE,"="""""
178256824,577100,202344,57320,577252,202388,57320,153.760284423828,138,0,2659249962,"=""80575167155731387""","=""80575167155740371""","=""720575940611661805""","=""720575940616046363""",577100,202344,57320,"=""720575940611661805""",TRUE,"="""""
178256825,577068,202364,57320,577164,202476,57320,5.70953273773193,156,0,2659249962,"=""80575167155731387""","=""80575167155740371""","=""720575940611661805""","=""720575940616046363""",577068,202364,57320,"=""720575940611661805""",FALSE,"="""""
178797719,586236,207260,80680,586136,207200,80680,718.45263671875,161,2790402780,3703358381,"=""80715973430760397""","=""80715973430760351""","=""720575940624804248""","=""720575940616046363""",586236,207260,80680,"=""720575940624804248""",FALSE,"="""""
179055854,586528,218612,80760,586440,218688,80720,510.007659912109,141,2660530240,3707197120,"=""80716179589194795""","=""80716179589194802""","=""720575940618976297""","=""720575940616046363""",586528,218612,80760,"=""720575940618976297""",FALSE,"="""""
179055903,587480,217976,81120,587456,218092,81080,473.272155761719,145,2528735655,0,"=""80716179589208868""","=""80716179589207498""","=""720575940619059497""","=""720575940616046363""",587480,217976,81120,"=""720575940619059497""",FALSE,"="""""
179055930,586912,218428,81240,587012,218512,81200,250.396286010742,147,2660530240,3707198749,"=""80716179589208945""","=""80716179589211456""","=""720575940618976297""","=""720575940616046363""",586912,218428,81240,"=""720575940618976297""",FALSE,"="""""
179055961,586900,218396,81280,587032,218408,81280,69.5917129516602,149,2660530240,3707198749,"=""80716179589210184""","=""80716179589211456""","=""720575940618976297""","=""720575940616046363""",586900,218396,81280,"=""720575940618976297""",TRUE,"="""""
179056094,587872,219528,81840,587848,219464,81720,397.814300537109,54,2527458123,3707198804,"=""80716179589298256""","=""80716179589224745""","=""720575940628113292""","=""720575940616046363""",587872,219528,81840,"=""720575940628113292""",TRUE,"="""""
179419162,585100,203456,80800,585100,203564,80760,546.794677734375,143,3441047905,3703358381,"=""80645604686583448""","=""80645604686587301""","=""720575940632437856""","=""720575940616046363""",585100,203456,80800,"=""720575940632437856""",TRUE,"="""""
