bodyid,pre,post,status,statusLabel,cropped,name,type,cellBodyFiber,voxels,soma,total.outputs,total.inputs,axon.outputs,dend.outputs,axon.inputs,dend.inputs,total.outputs.density,total.inputs.density,axon.outputs.density,dend.outputs.density,axon.inputs.density,dend.inputs.density,total.length,axon.length,dend.length,pd.length,segregation_index,overlap_locality
1292799162,261,882,Traced,Roughly traced,FALSE,R3m(ring)(AVM07)_L,R3m,NA,383836533,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1067.808754,205.8319735,793.2946306,19.35945829,3.78E-05,0.004394716
1261432159,294,1103,Traced,Roughly traced,FALSE,R3d_a(ring)(AVM07)_L,R3d_a,NA,413227204,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1271.275106,419.5500424,774.5227058,23.59876383,0.000368373,NA
5812979684,262,847,Traced,Roughly traced,FALSE,R3m(ring)(AVM07)_L,R3m,NA,417229576,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1132.692044,626.8820706,429.5894026,10.6247535,0.00024487,NA
1291780631,340,957,Traced,Roughly traced,FALSE,R3m(ring)(AVM07)_L,R3m,NA,466934286,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1293.67025,1036.491842,225.1853187,17.44371862,0.07060948,NA
1498720407,713,1166,Traced,Roughly traced,FALSE,PVM03g_pct(PVM03)_R,PVM03g_pct,MEF2,1857680597,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3273.735002,890.863501,2261.548325,18.46078239,0.752697461,NA
1261169514,319,887,Traced,Roughly traced,FALSE,R3p_b(ring)(AVM07)_L,R3p_b,NA,454332155,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1049.835841,358.7110368,575.52946,23.90225223,0.000580809,1.06E-37
1260949362,330,785,Traced,Roughly traced,FALSE,AVL18s_pct(AVL18)_R,AVL18s_pct,LEA2,665547183,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,2390.945303,1390.061346,744.1288958,100.6987498,0.001369796,NA
1261427999,281,1016,Traced,Roughly traced,FALSE,R3d_a(ring)(AVM07)_L,R3d_a,NA,427374154,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1313.864581,489.6961768,738.5802112,34.81854735,0.001400571,NA
1261423534,317,1187,Traced,Traced,FALSE,R3d_a(ring)(AVM07)_R,R3d_a,igL2,645635842,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1478.232746,998.8159019,261.954109,88.17659989,0.030568637,NA
1261773414,319,1051,Traced,Traced,FALSE,R3d_a(ring)(AVM07)_R,R3d_a,igL2,609272775,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1408.375909,921.2108975,277.5032328,71.56675309,0.039813946,NA
1292458366,292,1078,Traced,Roughly traced,FALSE,R3d_a(ring)(AVM07)_L,R3d_a,NA,394294048,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1354.074272,473.6680786,804.6405176,63.84391641,0.008578987,NA
1292121433,310,1138,Traced,Traced,FALSE,R3d_a(ring)(AVM07)_R,R3d_a,igL2,638574310,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1460.198857,950.9581676,274.4715287,93.89290191,0.036818625,NA
1292466818,311,1084,Traced,Traced,FALSE,R3d_a(ring)(AVM07)_R,R3d_a,igL2,600923639,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1468.082283,965.7677674,277.7234524,85.0858071,0.03007471,NA
1292458303,304,1010,Traced,Roughly traced,FALSE,R3d_a(ring)(AVM07)_L,R3d_a,NA,429233183,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1195.138834,625.1714206,449.7087486,22.66774126,0.000885246,NA
1232594718,187,436,Traced,Roughly traced,FALSE,LC6,LC6,NA,385832047,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1094.24904,227.5723054,587.4864911,202.2751228,0.220455506,NA
1291638853,495,1238,Traced,Roughly traced,FALSE,AVL11x_pct(AVL11)_R,AVL11x_pct,aAVLP1,870242768,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3682.574963,727.9128204,2760.597283,78.72974029,0.414607449,NA
1292320285,311,1371,Traced,Roughly traced,FALSE,AVL05u_a_pct(AVL05)_R,AVL05u_a_pct,aVLPT2,825919865,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,2713.774999,1927.091449,523.4527729,97.71035087,0.002797472,NA
1356772884,559,1311,Traced,Roughly traced,FALSE,LT51(aSP29a)(AVL04)_R,LT51,lVLPT1,1322129460,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,2692.220463,1101.1347,1231.871202,241.988459,0.162928705,NA
